,시도코드,시도명,시군구명,인당시설수,인당시설수순위,양호시설비율,주의필요시설비율,2019비만유병률_표준화율 (%),2019걷기실천율_표준화율 (%),2019스트레스인지율_표준화율 (%),2019연간체중조절시도율_표준화율 (%),2019중증도이상신체활동실천율_표준화율 (%),주거지역,상업지역,공업지역,녹지지역,수도권여부,y,grade
116,32340,강원도,평창군,0.000142,101.6,0.9117647058823528,0.088235294117647,40.1,24.4,22.3,56.3,14.9,28.75,2.94,0.0,68.31,비수도권,53.7,B
117,32350,강원도,정선군,0.000263,57.2,0.8571428571428571,0.1428571428571428,37.8,15.0,18.6,64.9,5.5,11.81,2.63,1.44,84.12,비수도권,49.3,B
118,32360,강원도,철원군,0.000126,111.6,0.25,0.75,39.8,43.1,23.9,63.7,30.2,23.47,2.8,1.52,72.22,비수도권,61.6,A
119,32370,강원도,화천군,0.000136,116.6,1.0,0.0,40.2,33.7,24.1,66.7,37.9,17.17,2.13,0.2,80.49,비수도권,69.7,A
120,32380,강원도,양구군,0.000205,88.7,0.4285714285714285,0.5714285714285714,37.0,37.2,26.6,71.0,41.0,39.21,4.42,1.69,54.68,비수도권,57.7,A
121,32390,강원도,인제군,0.000198,81.5,0.9830508474576272,0.0169491525423728,41.5,32.0,22.0,58.1,29.1,23.0,3.75,1.47,71.78,비수도권,56.0,A
122,32400,강원도,고성군,0.000247,81.9,0.9722222222222222,0.0277777777777777,34.2,35.4,17.4,69.7,31.6,24.72,3.17,1.65,66.86,비수도권,54.4,B
123,32410,강원도,양양군,0.000279,76.3,0.625,0.375,32.5,32.6,18.8,60.4,31.4,21.53,5.18,0.18,70.81,비수도권,68.0,A
124,33020,충청북도,충주시,0.000202,99.6,0.9772727272727272,0.0227272727272727,38.7,25.9,27.1,64.1,25.0,13.44,2.45,8.96,75.15,비수도권,46.5,B
125,33030,충청북도,제천시,0.000153,92.3,0.9741379310344828,0.0258620689655172,35.6,32.4,27.7,68.3,25.0,11.79,1.75,7.22,79.23,비수도권,59.6,A
126,33040,충청북도,청주시,0.000197,109.5,0.9243027888446216,0.0756972111553784,32.7,37.3,26.8,65.3,22.1,12.58,1.54,6.11,79.77,비수도권,60.2,A
127,33320,충청북도,보은군,0.000131,106.5,1.0,0.0,44.8,21.0,33.9,56.3,21.9,16.48,1.77,20.5,61.25,비수도권,48.7,B
128,33330,충청북도,옥천군,0.000558,131.4,0.9629629629629628,0.037037037037037,31.8,26.9,23.6,66.5,17.9,7.69,0.75,4.45,87.11,비수도권,55.5,A
129,33340,충청북도,영동군,0.0001139999999999,137.7,0.9333333333333332,0.0666666666666666,35.8,33.1,15.1,40.9,24.6,12.46,1.18,7.17,79.19,비수도권,61.8,A
130,33350,충청북도,진천군,0.000278,75.8,0.6666666666666666,0.3333333333333333,35.1,28.2,24.5,68.4,32.5,22.45,2.24,25.19,50.12,비수도권,50.2,B
